===== m2_t1.0_rig =====
E6* base: 56 admissible glues at m=2, index 686
t=1.0 index=686: deep-hole start d=0.5976143 diam=2.645751 (rigorous 2.645751, threshold sqrt7=2.645751)
  eval 1876: d=0.6578125 diam=2.645751 glue=(3, 5, 5) [283s]
  eval 1878: d=0.6578661 diam=2.645751 glue=(3, 5, 5) [283s]
  eval 1883: d=0.6580620 diam=2.645751 glue=(3, 5, 5) [284s]
  eval 1885: d=0.6583824 diam=2.645751 glue=(3, 5, 5) [284s]
  eval 1886: d=0.6586042 diam=2.645751 glue=(3, 5, 5) [285s]
  eval 1888: d=0.6587231 diam=2.645751 glue=(3, 5, 5) [285s]
  eval 1892: d=0.6590999 diam=2.645751 glue=(3, 5, 5) [285s]
  eval 1898: d=0.6592930 diam=2.645751 glue=(3, 5, 5) [286s]
  eval 1907: d=0.6596653 diam=2.645751 glue=(3, 5, 5) [287s]
  eval 1909: d=0.6600242 diam=2.645751 glue=(3, 5, 5) [288s]
  eval 1910: d=0.6619502 diam=2.645751 glue=(3, 5, 5) [288s]
    [heartbeat] 1920 evaluations, best 0.6619502, 289s
  eval 1933: d=0.6624112 diam=2.645751 glue=(3, 5, 5) [291s]
  eval 1940: d=0.6633710 diam=2.645751 glue=(3, 5, 5) [292s]
  eval 1945: d=0.6637166 diam=2.645751 glue=(3, 5, 5) [293s]
  eval 1951: d=0.6639145 diam=2.645751 glue=(3, 5, 5) [294s]
  eval 1965: d=0.6648876 diam=2.645751 glue=(3, 5, 5) [296s]
    [heartbeat] 1968 evaluations, best 0.6648876, 297s
  eval 1981: d=0.6648994 diam=2.645751 glue=(3, 5, 5) [299s]
  eval 2013: d=0.6653101 diam=2.645751 glue=(3, 5, 5) [303s]
    [heartbeat] 2016 evaluations, best 0.6653101, 304s
  eval 2023: d=0.6666564 diam=2.645751 glue=(3, 5, 5) [305s]
  eval 2043: d=0.6667468 diam=2.645751 glue=(3, 5, 5) [309s]
    [heartbeat] 2064 evaluations, best 0.6667468, 313s
  eval 2079: d=0.6668323 diam=2.645751 glue=(3, 5, 5) [315s]
    [heartbeat] 2112 evaluations, best 0.6668323, 320s
  eval 2120: d=0.6670169 diam=2.645751 glue=(3, 5, 5) [322s]
    [heartbeat] 2160 evaluations, best 0.6670169, 328s
  eval 2183: d=0.6670369 diam=2.645751 glue=(3, 5, 5) [331s]
  eval 2188: d=0.6670373 diam=2.645751 glue=(3, 5, 5) [332s]
  eval 2199: d=0.6670541 diam=2.645751 glue=(3, 5, 5) [334s]
  eval 2208: d=0.6670670 diam=2.645751 glue=(3, 5, 5) [335s]
    [heartbeat] 2208 evaluations, best 0.6670670, 335s
  eval 2242: d=0.6671252 diam=2.645751 glue=(3, 5, 5) [341s]
  eval 2254: d=0.6672373 diam=2.645751 glue=(3, 5, 5) [343s]
    [heartbeat] 2256 evaluations, best 0.6672373, 343s
    [heartbeat] 2304 evaluations, best 0.6672373, 352s
  eval 2344: d=0.6672585 diam=2.645751 glue=(3, 5, 5) [360s]
    [heartbeat] 2352 evaluations, best 0.6672585, 362s
  eval 2376: d=0.6672865 diam=2.645751 glue=(3, 5, 5) [367s]
  eval 2387: d=0.6673003 diam=2.645751 glue=(3, 5, 5) [370s]
    [heartbeat] 2400 evaluations, best 0.6673003, 372s
  eval 2414: d=0.6673128 diam=2.645751 glue=(3, 5, 5) [376s]
  eval 2422: d=0.6673131 diam=2.645751 glue=(3, 5, 5) [377s]
  eval 2425: d=0.6673382 diam=2.645751 glue=(3, 5, 5) [378s]
  eval 2439: d=0.6673513 diam=2.645751 glue=(3, 5, 5) [380s]
  eval 2441: d=0.6673631 diam=2.645751 glue=(3, 5, 5) [381s]
    [heartbeat] 2448 evaluations, best 0.6673631, 382s
  eval 2453: d=0.6673886 diam=2.645751 glue=(3, 5, 5) [383s]
  eval 2477: d=0.6674119 diam=2.645751 glue=(3, 5, 5) [386s]
  eval 2491: d=0.6675398 diam=2.645751 glue=(3, 5, 5) [389s]
    [heartbeat] 2496 evaluations, best 0.6675398, 389s
  eval 2497: d=0.6675623 diam=2.645751 glue=(3, 5, 5) [389s]
  eval 2513: d=0.6676047 diam=2.645751 glue=(3, 5, 5) [392s]
  eval 2543: d=0.6676595 diam=2.645751 glue=(3, 5, 5) [397s]
    [heartbeat] 2544 evaluations, best 0.6676595, 397s
  eval 2546: d=0.6676886 diam=2.645751 glue=(3, 5, 5) [397s]
  eval 2556: d=0.6676953 diam=2.645751 glue=(3, 5, 5) [399s]
    [heartbeat] 2592 evaluations, best 0.6676953, 404s
  eval 2623: d=0.6677007 diam=2.645751 glue=(3, 5, 5) [409s]
    [heartbeat] 2640 evaluations, best 0.6677007, 412s
  eval 2652: d=0.6677262 diam=2.645751 glue=(3, 5, 5) [413s]
  eval 2682: d=0.6677450 diam=2.645751 glue=(3, 5, 5) [418s]
    [heartbeat] 2688 evaluations, best 0.6677450, 419s
  eval 2694: d=0.6677491 diam=2.645751 glue=(3, 5, 5) [420s]
  [budget] stop after 2700 evaluations
[422s] m2_t1.0_rig done
===== m2_t0.95_rig =====
E6* base: 56 admissible glues at m=2, index 686
t=0.95 index=686: deep-hole start d=0.5899680 diam=2.627261 (rigorous 2.627261, threshold sqrt7=2.645751)
  eval 6: d=0.5922570 diam=2.627261 glue=(1, 6, 4) [1s]
  eval 10: d=0.5959549 diam=2.627261 glue=(3, 5, 0) [2s]
  eval 24: d=0.6133771 diam=2.627261 glue=(1, 2, 2) [4s]
  eval 46: d=0.6176819 diam=2.627261 glue=(6, 6, 1) [7s]
    [heartbeat] 48 evaluations, best 0.6176819, 7s
    [heartbeat] 96 evaluations, best 0.6176819, 14s
  eval 115: d=0.6233110 diam=2.627261 glue=(3, 2, 2) [17s]
  eval 135: d=0.6244881 diam=2.627261 glue=(6, 3, 6) [20s]
    [heartbeat] 144 evaluations, best 0.6244881, 21s
  eval 151: d=0.6328203 diam=2.627261 glue=(3, 2, 2) [22s]
    [heartbeat] 192 evaluations, best 0.6328203, 28s
    [heartbeat] 240 evaluations, best 0.6328203, 35s
    [heartbeat] 288 evaluations, best 0.6328203, 42s
    [heartbeat] 336 evaluations, best 0.6328203, 49s
